Monoisotopic ion mass (singly charged),Name,Ion type,Formula for M or subunit or sequence,Compound ID or species,Possible origin and other comments ,ESI,MALDI,References
26.00362, f-,f-,CN,,Fragment from acetonitrile ,,,F
44.9982, [M-H]-,[M-H]-,HCOOH,,"Formic acid, FA (anion)",,,F
59.01385, [M-H]-,[M-H]-,CH3COOH,,"Acetic Acid, Ac (anion)",,,F
78.95906, [M-H3O]-,[M-H3O]-,H3PO4,,"Phosphoric acid (phosphate, anion) also from oligonucleotides or phosphopeptides",,,F
79.95737, [M-H2O]-,[M-H2O]-,H2SO4,,"Sulfuric acid (sulfate, anion) also from other sulfated materials",,,F
94.98084, [M-H]-,[M-H]-,CH3SO3H,,"Methanesulfuric acid (methanesulfonate, anion)",,,F
96.96011, [M-H]-,[M-H]-,H2SO4,,"Sulfuric acid (sulfate, anion)",,,F
96.96962, [M-H]-,[M-H]-,H3PO4,,"Phosphoric acid (phosphate, anion) also from oligonucleotides or phosphopeptides",,,F
112.98559, [M-H]-,[M-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,F
112.98563, [M2+Na-2H]-,[M2+Na-2H]-,HCOOH,,"Formic acid, dimer, FA (anion)",,,F
126.90502, A-,A-,I,,Iodine anion (Iodide),,,V
162.9824, [M-H]-,[M-H]-,CF3CF2COOH,,"Pentafluoropropionic acid, Perfluoropropionic acid",,,E
212.07507, [M-H]-,[M-H]-,C10H15NO2S,,n-butyl benzenesulfonamide,,,"A, K"
226.97845, [M2-H]-,[M2-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,A
248.9604, [M2+Na-2H]-,[M2+Na-2H]-,CF3COOH,,"Trifluoroacetic acid, TFA, sodiated (anion)",,,A
255.23295, [M-H]-,[M-H]-,C16H32O2,,Palmitic acid (carboxylate anion) C16:0,,,K
281.2486, [M-H]-,[M-H]-,C18H34O2,,Oleic acid (carboxylate anion) C18:1,,,K
283.26425, [M-H]-,[M-H]-,C18H36O2,,Stearic acid (carboxylate anion) 18:0,,,K
316.7391, [63CuI+I]-,[63CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
318.73729, [65CuI+I]-,[65CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
,,,,,,,,
153.019332,C7H5O4-,,,,,,,
153.055717,C8H9O3-,,,,,,,
153.092102,C7H5O4-,,,,,,,
153.128487,C8H9O3-,,,,,,,
153.164872,C7H5O4-,,,,,,,
153.201257,C8H9O3-,,,,,,,
153.237642,C7H5O4-,,,,,,,
153.274027,C8H9O3-,,,,,,,
153.310412,C7H5O4-,,,,,,,
153.346797,C8H9O3-,,,,,,,
153.383182,C7H5O4-,,,,,,,
153.419567,C8H9O3-,,,,,,,
153.455952,C7H5O4-,,,,,,,
153.492337,C8H9O3-,,,,,,,
153.528722,C7H5O4-,,,,,,,
153.565107,C8H9O3-,,,,,,,
153.601492,C7H5O4-,,,,,,,
153.637877,C8H9O3-,,,,,,,
153.674262,C7H5O4-,,,,,,,
153.710647,C8H9O3-,,,,,,,
153.747032,C7H5O4-,,,,,,,
153.783417,C8H9O3-,,,,,,,
153.819802,C7H5O4-,,,,,,,
171.139053,C10H19O2-,,,,,,,
181.014247,C8H5O5-,,,,,,,
181.050632,C9H9O4-,,,,,,,
181.087017,C10H13O3-,,,,,,,
181.123403,C11H17O2-,,,,,,,
182.993511,C7H3O6-,,,,,,,
183.029897,C8H7O5-,,,,,,,
183.066282,C9H11O4-,,,,,,,
183.102667,C10H15O3-,,,,,,,
183.139053,C11H19O2-,,,,,,,
185.009161,C7H5O6-,,,,,,,
185.045547,C8H9O5-,,,,,,,
185.081932,C9H13O4-,,,,,,,
185.118317,C10H17O3-,,,,,,,
185.154703,C11H21O2-,,,,,,,
194.993511,C8H3O6-,,,,,,,
195.029897,C9H7O5-,,,,,,,
195.066282,C10H11O4-,,,,,,,
195.102667,C11H15O3-,,,,,,,
195.139053,C12H19O2-,,,,,,,
197.009161,C8H5O6-,,,,,,,
197.045547,C9H9O5-,,,,,,,
197.081932,C10H13O4-,,,,,,,
197.118317,C11H17O3-,,,,,,,
197.154703,C12H21O2-,,,,,,,
198.988426,C7H3O7-,,,,,,,
199.024811,C8H7O6-,,,,,,,
199.061196,C9H11O5-,,,,,,,
199.097582,C10H15O4-,,,,,,,
199.133967,C11H19O3-,,,,,,,
199.170353,C12H23O2-,,,,,,,
209.009161,C9H5O6-,,,,,,,
209.045547,C10H9O5-,,,,,,,
209.081932,C11H13O4-,,,,,,,
209.118317,C12H17O3-,,,,,,,
209.154703,C13H21O2-,,,,,,,
210.988426,C8H3O7-,,,,,,,
211.024811,C9H7O6-,,,,,,,
211.061196,C10H11O5-,,,,,,,
211.097582,C11H15O4-,,,,,,,
211.133967,C12H19O3-,,,,,,,
211.170353,C13H23O2-,,,,,,,
213.004076,C8H5O7-,,,,,,,
213.040461,C9H9O6-,,,,,,,
213.076847,C10H13O5-,,,,,,,
213.113232,C11H17O4-,,,,,,,
213.149617,C12H21O3-,,,,,,,
213.186003,C13H25O2-,,,,,,,
222.988426,C9H3O7-,,,,,,,
223.024811,C10H7O6-,,,,,,,
223.061196,C11H11O5-,,,,,,,
223.097582,C12H15O4-,,,,,,,
223.133967,C13H19O3-,,,,,,,
223.170353,C14H23O2-,,,,,,,
225.004076,C9H5O7-,,,,,,,
225.040461,C10H9O6-,,,,,,,
225.076847,C11H13O5-,,,,,,,
225.113232,C12H17O4-,,,,,,,
225.149617,C13H21O3-,,,,,,,
225.186003,C14H25O2-,,,,,,,
226.98334,C8H3O8-,,,,,,,
227.019726,C9H7O7-,,,,,,,
227.056111,C10H11O6-,,,,,,,
227.092497,C11H15O5-,,,,,,,
227.128882,C12H19O4-,,,,,,,
227.165267,C13H23O3-,,,,,,,
227.201653,C14H27O2-,,,,,,,
237.004076,C10H5O7-,,,,,,,
237.040461,C11H9O6-,,,,,,,
237.076847,C12H13O5-,,,,,,,
237.113232,C13H17O4-,,,,,,,
237.149617,C14H21O3-,,,,,,,
237.186003,C15H25O2-,,,,,,,
238.98334,C9H3O8-,,,,,,,
239.019726,C10H7O7-,,,,,,,
239.056111,C11H11O6-,,,,,,,
239.092497,C12H15O5-,,,,,,,
239.128882,C13H19O4-,,,,,,,
239.165267,C14H23O3-,,,,,,,
239.201653,C15H27O2-,,,,,,,
240.99899,C9H5O8-,,,,,,,
241.035376,C10H9O7-,,,,,,,
241.071761,C11H13O6-,,,,,,,
241.108147,C12H17O5-,,,,,,,
241.144532,C13H21O4-,,,,,,,
241.180917,C14H25O3-,,,,,,,
241.217303,C15H29O2-,,,,,,,
250.98334,C10H3O8-,,,,,,,
251.019726,C11H7O7-,,,,,,,
251.056111,C12H11O6-,,,,,,,
251.092497,C13H15O5-,,,,,,,
251.128882,C14H19O4-,,,,,,,
251.165267,C15H23O3-,,,,,,,
251.201653,C16H27O2-,,,,,,,
252.99899,C10H5O8-,,,,,,,
253.035376,C11H9O7-,,,,,,,
253.071761,C12H13O6-,,,,,,,
253.108147,C13H17O5-,,,,,,,
253.144532,C14H21O4-,,,,,,,
253.180917,C15H25O3-,,,,,,,
253.217303,C16H29O2-,,,,,,,
254.978255,C9H3O9-,,,,,,,
255.01464,C10H7O8-,,,,,,,
255.051026,C11H11O7-,,,,,,,
255.087411,C12H15O6-,,,,,,,
255.123797,C13H19O5-,,,,,,,
255.160182,C14H23O4-,,,,,,,
255.196567,C15H27O3-,,,,,,,
255.232953,C16H31O2-,,,,,,,
264.99899,C11H5O8-,,,,,,,
265.035376,C12H9O7-,,,,,,,
265.071761,C13H13O6-,,,,,,,
265.108146,C14H17O5-,,,,,,,
265.144532,C15H21O4-,,,,,,,
265.180917,C16H25O3-,,,,,,,
265.217303,C17H29O2-,,,,,,,
266.978255,C10H3O9-,,,,,,,
267.01464,C11H7O8-,,,,,,,
267.051026,C12H11O7-,,,,,,,
267.087411,C13H15O6-,,,,,,,
267.123797,C14H19O5-,,,,,,,
267.160182,C15H23O4-,,,,,,,
267.196567,C16H27O3-,,,,,,,
267.232953,C17H31O2-,,,,,,,
268.993905,C10H5O9-,,,,,,,
269.03029,C11H9O8-,,,,,,,
269.066676,C12H13O7-,,,,,,,
269.103061,C13H17O6-,,,,,,,
269.139446,C14H21O5-,,,,,,,
269.175832,C15H25O4-,,,,,,,
269.212217,C16H29O3-,,,,,,,
269.248603,C17H33O2-,,,,,,,
278.978255,C11H3O9-,,,,,,,
279.01464,C12H7O8-,,,,,,,
279.051026,C13H11O7-,,,,,,,
279.087411,C14H15O6-,,,,,,,
279.123797,C15H19O5-,,,,,,,
279.160182,C16H23O4-,,,,,,,
279.196567,C17H27O3-,,,,,,,
279.232953,C18H31O2-,,,,,,,
280.993905,C11H5O9-,,,,,,,
281.03029,C12H9O8-,,,,,,,
281.066676,C13H13O7-,,,,,,,
281.103061,C14H17O6-,,,,,,,
281.139446,C15H21O5-,,,,,,,
281.175832,C16H25O4-,,,,,,,
281.212217,C17H29O3-,,,,,,,
281.248603,C18H33O2-,,,,,,,
282.973169,C10H3O10-,,,,,,,
283.009555,C11H7O9-,,,,,,,
283.04594,C12H11O8-,,,,,,,
283.082326,C13H15O7-,,,,,,,
283.118711,C14H19O6-,,,,,,,
283.155097,C15H23O5-,,,,,,,
283.191482,C16H27O4-,,,,,,,
283.227867,C17H31O3-,,,,,,,
283.264253,C18H35O2-,,,,,,,
292.993905,C12H5O9-,,,,,,,
293.03029,C13H9O8-,,,,,,,
293.066676,C14H13O7-,,,,,,,
293.103061,C15H17O6-,,,,,,,
293.139446,C16H21O5-,,,,,,,
293.175832,C17H25O4-,,,,,,,
293.212217,C18H29O3-,,,,,,,
293.248603,C19H33O2-,,,,,,,
294.973169,C11H3O10-,,,,,,,
295.009555,C12H7O9-,,,,,,,
295.04594,C13H11O8-,,,,,,,
295.082326,C14H15O7-,,,,,,,
295.118711,C15H19O6-,,,,,,,
295.155097,C16H23O5-,,,,,,,
295.191482,C17H27O4-,,,,,,,
295.227867,C18H31O3-,,,,,,,
295.264253,C19H35O2-,,,,,,,
296.988819,C11H5O10-,,,,,,,
297.025205,C12H9O9-,,,,,,,
297.06159,C13H13O8-,,,,,,,
297.097976,C14H17O7-,,,,,,,
297.134361,C15H21O6-,,,,,,,
297.170747,C16H25O5-,,,,,,,
297.207132,C17H29O4-,,,,,,,
297.243517,C18H33O3-,,,,,,,
297.279903,C19H37O2-,,,,,,,
306.973169,C12H3O10-,,,,,,,
307.009555,C13H7O9-,,,,,,,
307.04594,C14H11O8-,,,,,,,
307.082326,C15H15O7-,,,,,,,
307.118711,C16H19O6-,,,,,,,
307.155097,C17H23O5-,,,,,,,
307.191482,C18H27O4-,,,,,,,
307.227867,C19H31O3-,,,,,,,
307.264253,C20H35O2-,,,,,,,
308.988819,C12H5O10-,,,,,,,
309.025205,C13H9O9-,,,,,,,
309.06159,C14H13O8-,,,,,,,
309.097976,C15H17O7-,,,,,,,
309.134361,C16H21O6-,,,,,,,
309.170747,C17H25O5-,,,,,,,
309.207132,C18H29O4-,,,,,,,
309.243517,C19H33O3-,,,,,,,
309.279903,C20H37O2-,,,,,,,
310.968084,C11H3O11-,,,,,,,
311.00447,C12H7O10-,,,,,,,
311.040855,C13H11O9-,,,,,,,
311.07724,C14H15O8-,,,,,,,
311.113626,C15H19O7-,,,,,,,
311.150011,C16H23O6-,,,,,,,
311.186397,C17H27O5-,,,,,,,
311.222782,C18H31O4-,,,,,,,
311.259167,C19H35O3-,,,,,,,
311.295553,C20H39O2-,,,,,,,
320.988819,C13H5O10-,,,,,,,
321.025205,C14H9O9-,,,,,,,
321.06159,C15H13O8-,,,,,,,
321.097976,C16H17O7-,,,,,,,
321.134361,C17H21O6-,,,,,,,
321.170747,C18H25O5-,,,,,,,
321.207132,C19H29O4-,,,,,,,
321.243517,C20H33O3-,,,,,,,
321.279903,C21H37O2-,,,,,,,
322.968084,C12H3O11-,,,,,,,
323.00447,C13H7O10-,,,,,,,
323.040855,C14H11O9-,,,,,,,
323.07724,C15H15O8-,,,,,,,
323.113626,C16H19O7-,,,,,,,
323.150011,C17H23O6-,,,,,,,
323.186397,C18H27O5-,,,,,,,
323.222782,C19H31O4-,,,,,,,
323.259167,C20H35O3-,,,,,,,
323.295553,C21H39O2-,,,,,,,
324.983734,C12H5O11-,,,,,,,
325.020119,C13H9O10-,,,,,,,
325.056505,C14H13O9-,,,,,,,
325.09289,C15H17O8-,,,,,,,
325.129276,C16H21O7-,,,,,,,
325.165661,C17H25O6-,,,,,,,
325.202046,C18H29O5-,,,,,,,
325.238432,C19H33O4-,,,,,,,
325.274817,C20H37O3-,,,,,,,
325.311203,C21H41O2-,,,,,,,
334.968084,C13H3O11-,,,,,,,
335.00447,C14H7O10-,,,,,,,
335.040855,C15H11O9-,,,,,,,
335.07724,C16H15O8-,,,,,,,
335.113626,C17H19O7-,,,,,,,
335.150011,C18H23O6-,,,,,,,
335.186397,C19H27O5-,,,,,,,
335.222782,C20H31O4-,,,,,,,
335.259167,C21H35O3-,,,,,,,
335.295553,C22H39O2-,,,,,,,
336.983734,C13H5O11-,,,,,,,
337.020119,C14H9O10-,,,,,,,
337.056505,C15H13O9-,,,,,,,
337.09289,C16H17O8-,,,,,,,
337.129276,C17H21O7-,,,,,,,
337.165661,C18H25O6-,,,,,,,
337.202047,C19H29O5-,,,,,,,
337.238432,C20H33O4-,,,,,,,
337.274817,C21H37O3-,,,,,,,
337.311203,C22H41O2-,,,,,,,
338.962999,C12H3O12-,,,,,,,
338.999384,C13H7O11-,,,,,,,
339.03577,C14H11O10-,,,,,,,
339.072155,C15H15O9-,,,,,,,
339.10854,C16H19O8-,,,,,,,
339.144926,C17H23O7-,,,,,,,
339.181311,C18H27O6-,,,,,,,
339.217696,C19H31O5-,,,,,,,
339.254082,C20H35O4-,,,,,,,
339.290467,C21H39O3-,,,,,,,
339.326853,C22H43O2-,,,,,,,
348.983734,C14H5O11-,,,,,,,
349.020119,C15H9O10-,,,,,,,
349.056505,C16H13O9-,,,,,,,
349.09289,C17H17O8-,,,,,,,
349.129276,C18H21O7-,,,,,,,
349.165661,C19H25O6-,,,,,,,
349.202047,C20H29O5-,,,,,,,
349.238432,C21H33O4-,,,,,,,
349.274817,C22H37O3-,,,,,,,
349.311203,C23H41O2-,,,,,,,
350.962999,C13H3O12-,,,,,,,
350.999384,C14H7O11-,,,,,,,
351.03577,C15H11O10-,,,,,,,
351.072155,C16H15O9-,,,,,,,
351.10854,C17H19O8-,,,,,,,
351.144926,C18H23O7-,,,,,,,
351.181311,C19H27O6-,,,,,,,
351.217696,C20H31O5-,,,,,,,
351.254082,C21H35O4-,,,,,,,
351.290467,C22H39O3-,,,,,,,
351.326853,C23H43O2-,,,,,,,
352.978649,C13H5O12-,,,,,,,
353.015034,C14H9O11-,,,,,,,
353.05142,C15H13O10-,,,,,,,
353.087805,C16H17O9-,,,,,,,
353.12419,C17H21O8-,,,,,,,
353.160576,C18H25O7-,,,,,,,
353.196961,C19H29O6-,,,,,,,
353.233347,C20H33O5-,,,,,,,
353.269732,C21H37O4-,,,,,,,
353.306117,C22H41O3-,,,,,,,
353.342503,C23H45O2-,,,,,,,
362.999384,C15H7O11-,,,,,,,
363.03577,C16H11O10-,,,,,,,
363.072155,C17H15O9-,,,,,,,
363.10854,C18H19O8-,,,,,,,
363.144926,C19H23O7-,,,,,,,
363.181311,C20H27O6-,,,,,,,
363.217696,C21H31O5-,,,,,,,
363.254082,C22H35O4-,,,,,,,
363.290467,C23H39O3-,,,,,,,
363.326853,C24H43O2-,,,,,,,
364.978649,C14H5O12-,,,,,,,
365.015034,C15H9O11-,,,,,,,
365.05142,C16H13O10-,,,,,,,
365.087805,C17H17O9-,,,,,,,
365.12419,C18H21O8-,,,,,,,
365.160576,C19H25O7-,,,,,,,
365.196961,C20H29O6-,,,,,,,
365.233347,C21H33O5-,,,,,,,
365.269732,C22H37O4-,,,,,,,
365.306117,C23H41O3-,,,,,,,
365.342503,C24H45O2-,,,,,,,
366.957913,C13H3O13-,,,,,,,
366.994299,C14H7O12-,,,,,,,
367.030684,C15H11O11-,,,,,,,
367.06707,C16H15O10-,,,,,,,
367.103455,C17H19O9-,,,,,,,
367.13984,C18H23O8-,,,,,,,
367.176226,C19H27O7-,,,,,,,
367.212611,C20H31O6-,,,,,,,
367.248996,C21H35O5-,,,,,,,
367.285382,C22H39O4-,,,,,,,
367.321767,C23H43O3-,,,,,,,
367.358153,C24H47O2-,,,,,,,
376.978649,C15H5O12-,,,,,,,
377.015034,C16H9O11-,,,,,,,
377.05142,C17H13O10-,,,,,,,
377.087805,C18H17O9-,,,,,,,
377.12419,C19H21O8-,,,,,,,
377.160576,C20H25O7-,,,,,,,
377.196961,C21H29O6-,,,,,,,
377.233347,C22H33O5-,,,,,,,
377.269732,C23H37O4-,,,,,,,
377.306117,C24H41O3-,,,,,,,
377.342503,C25H45O2-,,,,,,,
378.994299,C15H7O12-,,,,,,,
379.030684,C16H11O11-,,,,,,,
379.06707,C17H15O10-,,,,,,,
379.103455,C18H19O9-,,,,,,,
379.13984,C19H23O8-,,,,,,,
379.176226,C20H27O7-,,,,,,,
379.212611,C21H31O6-,,,,,,,
379.248996,C22H35O5-,,,,,,,
379.285382,C23H39O4-,,,,,,,
379.321767,C24H43O3-,,,,,,,
379.358153,C25H47O2-,,,,,,,
380.973563,C14H5O13-,,,,,,,
381.009949,C15H9O12-,,,,,,,
381.046334,C16H13O11-,,,,,,,
381.082719,C17H17O10-,,,,,,,
381.119105,C18H21O9-,,,,,,,
381.15549,C19H25O8-,,,,,,,
381.191876,C20H29O7-,,,,,,,
381.228261,C21H33O6-,,,,,,,
381.264647,C22H37O5-,,,,,,,
381.301032,C23H41O4-,,,,,,,
381.337417,C24H45O3-,,,,,,,
381.373803,C25H49O2-,,,,,,,
390.994299,C16H7O12-,,,,,,,
391.030684,C17H11O11-,,,,,,,
391.06707,C18H15O10-,,,,,,,
391.103455,C19H19O9-,,,,,,,
391.13984,C20H23O8-,,,,,,,
391.176226,C21H27O7-,,,,,,,
391.212611,C22H31O6-,,,,,,,
391.248996,C23H35O5-,,,,,,,
391.285382,C24H39O4-,,,,,,,
391.321767,C25H43O3-,,,,,,,
391.358153,C26H47O2-,,,,,,,
392.973563,C15H5O13-,,,,,,,
393.009949,C16H9O12-,,,,,,,
393.046334,C17H13O11-,,,,,,,
393.082719,C18H17O10-,,,,,,,
393.119105,C19H21O9-,,,,,,,
393.15549,C20H25O8-,,,,,,,
393.191876,C21H29O7-,,,,,,,
393.228261,C22H33O6-,,,,,,,
393.264647,C23H37O5-,,,,,,,
393.301032,C24H41O4-,,,,,,,
393.337417,C25H45O3-,,,,,,,
393.373803,C26H49O2-,,,,,,,
394.989213,C15H7O13-,,,,,,,
395.025599,C16H11O12-,,,,,,,
395.061984,C17H15O11-,,,,,,,
395.098369,C18H19O10-,,,,,,,
395.134755,C19H23O9-,,,,,,,
395.17114,C20H27O8-,,,,,,,
395.207526,C21H31O7-,,,,,,,
395.243911,C22H35O6-,,,,,,,
395.280296,C23H39O5-,,,,,,,
395.316682,C24H43O4-,,,,,,,
395.353067,C25H47O3-,,,,,,,
395.389453,C26H51O2-,,,,,,,
404.973563,C16H5O13-,,,,,,,
405.009949,C17H9O12-,,,,,,,
405.046334,C18H13O11-,,,,,,,
405.082719,C19H17O10-,,,,,,,
405.119105,C20H21O9-,,,,,,,
405.15549,C21H25O8-,,,,,,,
405.191876,C22H29O7-,,,,,,,
405.228261,C23H33O6-,,,,,,,
405.264647,C24H37O5-,,,,,,,
405.301032,C25H41O4-,,,,,,,
405.337417,C26H45O3-,,,,,,,
405.373803,C27H49O2-,,,,,,,
406.989213,C16H7O13-,,,,,,,
407.025599,C17H11O12-,,,,,,,
407.061984,C18H15O11-,,,,,,,
407.098369,C19H19O10-,,,,,,,
407.134755,C20H23O9-,,,,,,,
407.17114,C21H27O8-,,,,,,,
407.207526,C22H31O7-,,,,,,,
407.243911,C23H35O6-,,,,,,,
407.280296,C24H39O5-,,,,,,,
407.316682,C25H43O4-,,,,,,,
407.353067,C26H47O3-,,,,,,,
407.389453,C27H51O2-,,,,,,,
408.968478,C15H5O14-,,,,,,,
409.004863,C16H9O13-,,,,,,,
409.041249,C17H13O12-,,,,,,,
409.077634,C18H17O11-,,,,,,,
409.114019,C19H21O10-,,,,,,,
409.150405,C20H25O9-,,,,,,,
409.18679,C21H29O8-,,,,,,,
409.223176,C22H33O7-,,,,,,,
409.259561,C23H37O6-,,,,,,,
409.295947,C24H41O5-,,,,,,,
409.332332,C25H45O4-,,,,,,,
409.368717,C26H49O3-,,,,,,,
418.989213,C17H7O13-,,,,,,,
419.025599,C18H11O12-,,,,,,,
419.061984,C19H15O11-,,,,,,,
419.098369,C20H19O10-,,,,,,,
419.134755,C21H23O9-,,,,,,,
419.17114,C22H27O8-,,,,,,,
419.207526,C23H31O7-,,,,,,,
419.243911,C24H35O6-,,,,,,,
419.280296,C25H39O5-,,,,,,,
419.316682,C26H43O4-,,,,,,,
